plk-invoice-number,xyz-branch,city-ghh-998,type-usr-search,gender,category-catalog-dsp,cost of goods sold,sale,dateddmmyyy,time,payment-type-full,review
866-05-7563,B,Chicago,Member,Female,Electronic accessories,244.2,256.41,02/09/2019,19:43,Cash,4.8
604-70-6476,A,Nueva York,Member,Male,Fashion accessories,89.7,94.185,1/23/2019,14:04,Ewallet,6.8
799-71-1548,A,Nueva York,Member,Male,Electronic accessories,310.88,326.424,01/07/2019,16:11,Credit card,8.8
785-13-7708,B,Chicago,Normal,Male,Food and beverages,511.42,536.991,1/14/2019,19:06,Credit card,4.2
845-51-0542,B,Chicago,Member,Male,Food and beverages,418.95,439.8975,02/02/2019,15:34,Ewallet,6.4
662-47-5456,C,Houston,Member,Male,Fashion accessories,351.9,369.495,3/17/2019,19:06,Credit card,8.4
883-17-4236,C,Houston,Normal,Female,Sports and travel,28.78,30.219,03/02/2019,19:44,Credit card,7.2
290-68-2984,A,Nueva York,Normal,Male,Home and lifestyle,95,99.75,3/16/2019,11:22,Cash,5.2
704-11-6354,A,Nueva York,Member,Male,Home and lifestyle,471.2,494.76,01/06/2019,11:23,Cash,8.9
110-48-7033,B,Chicago,Member,Male,Fashion accessories,130.48,137.004,1/29/2019,14:12,Cash,9
366-93-0948,A,Nueva York,Member,Male,Electronic accessories,66.35,69.6675,1/31/2019,10:46,Credit card,9.7
729-09-9681,A,Nueva York,Member,Male,Home and lifestyle,155.46,163.233,02/05/2019,10:16,Ewallet,8.7
151-16-1484,A,Nueva York,Member,Male,Electronic accessories,129,135.45,2/13/2019,12:38,Ewallet,6.5
380-94-4661,C,Houston,Member,Male,Electronic accessories,263.76,276.948,02/07/2019,13:05,Credit card,6.9
850-41-9669,A,Nueva York,Normal,Female,Electronic accessories,675.54,709.317,3/19/2019,13:25,Ewallet,6.2
821-07-3596,C,Houston,Normal,Female,Fashion accessories,65.8,69.09,03/07/2019,14:53,Ewallet,5.6
655-85-5130,B,Chicago,Member,Female,Fashion accessories,153.2,160.86,3/13/2019,19:22,Cash,5.7
447-15-7839,A,Nueva York,Member,Female,Sports and travel,222.4,233.52,02/09/2019,11:00,Cash,4.2
154-74-7179,B,Chicago,Normal,Male,Sports and travel,54.45,57.1725,2/26/2019,19:24,Ewallet,7.9
253-12-6086,A,Nueva York,Member,Female,Sports and travel,688.8,723.24,03/12/2019,12:43,Credit card,8.7
808-65-0703,C,Houston,Normal,Male,Home and lifestyle,141.88,148.974,3/14/2019,17:22,Credit card,6.9
571-94-0759,B,Chicago,Member,Female,Food and beverages,746,783.3,01/08/2019,20:55,Cash,9.5
144-51-6085,A,Nueva York,Member,Male,Home and lifestyle,282.96,297.108,01/05/2019,16:05,Credit card,4.4
731-14-2199,A,Nueva York,Member,Female,Home and lifestyle,355.4,373.17,01/04/2019,13:34,Ewallet,7
783-09-1637,B,Chicago,Normal,Female,Sports and travel,337.15,354.0075,03/06/2019,18:13,Ewallet,6.3
687-15-1097,C,Houston,Member,Female,Health and beauty,42.24,44.352,01/03/2019,19:17,Cash,9.7
126-54-1082,A,Nueva York,Member,Female,Home and lifestyle,193.86,203.553,01/07/2019,11:44,Credit card,8.8
633-91-1052,A,Nueva York,Normal,Female,Home and lifestyle,24.06,25.263,1/27/2019,15:51,Cash,5.1
477-24-6490,B,Chicago,Normal,Female,Health and beauty,598.26,628.173,2/26/2019,16:52,Ewallet,7.9
566-19-5475,B,Chicago,Normal,Male,Fashion accessories,335.79,352.5795,01/07/2019,20:52,Cash,6.2
526-86-8552,C,Houston,Member,Female,Home and lifestyle,218.2,229.11,01/07/2019,17:36,Cash,7.1
376-56-3573,C,Houston,Normal,Female,Fashion accessories,381.68,400.764,02/02/2019,13:23,Ewallet,6.4
537-72-0426,C,Houston,Member,Male,Fashion accessories,709.9,745.395,3/20/2019,16:28,Cash,5.7
828-61-5674,A,Nueva York,Member,Male,Sports and travel,440.2,462.21,3/20/2019,19:57,Credit card,9.6
136-08-6195,A,Nueva York,Normal,Female,Home and lifestyle,559.68,587.664,2/15/2019,17:01,Credit card,6.4
523-38-0215,C,Houston,Normal,Male,Home and lifestyle,37,38.85,03/06/2019,13:29,Credit card,7.9
490-29-1201,A,Nueva York,Normal,Female,Sports and travel,15.34,16.107,01/06/2019,11:09,Cash,6.5
667-92-0055,A,Nueva York,Member,Male,Health and beauty,598.98,628.929,03/04/2019,15:02,Ewallet,8.5
565-17-3836,A,Nueva York,Member,Female,Health and beauty,190.68,200.214,03/12/2019,14:21,Cash,9.1
498-41-1961,B,Chicago,Normal,Male,Health and beauty,333.4,350.07,2/20/2019,18:01,Cash,7.6
593-95-4461,C,Houston,Member,Male,Home and lifestyle,74.86,78.603,3/24/2019,14:49,Cash,6.9
226-71-3580,C,Houston,Normal,Female,Sports and travel,213.75,224.4375,1/31/2019,12:02,Cash,9.5
283-79-9594,B,Chicago,Normal,Female,Food and beverages,339.57,356.5485,1/25/2019,13:30,Credit card,5.2
430-60-3493,A,Nueva York,Member,Female,Home and lifestyle,664.16,697.368,02/03/2019,14:38,Cash,4.2
139-20-0155,B,Chicago,Member,Male,Electronic accessories,403,423.15,1/24/2019,17:37,Credit card,7
558-80-4082,C,Houston,Normal,Male,Electronic accessories,194.95,204.6975,3/14/2019,17:20,Ewallet,6
278-97-7759,A,Nueva York,Member,Female,Electronic accessories,62.48,65.604,2/18/2019,20:29,Cash,4.7
316-68-6352,A,Nueva York,Member,Female,Food and beverages,72.72,76.356,1/21/2019,10:00,Cash,7.1
585-03-5943,B,Chicago,Normal,Male,Health and beauty,181.1,190.155,3/13/2019,11:46,Ewallet,5.9
211-05-0490,C,Houston,Member,Female,Electronic accessories,259.6,272.58,03/03/2019,13:42,Cash,7.5
727-75-6477,C,Houston,Normal,Male,Electronic accessories,115.36,121.128,3/29/2019,14:44,Cash,6.4
744-02-5987,A,Nueva York,Member,Male,Home and lifestyle,470.28,493.794,01/10/2019,14:16,Ewallet,5.8
307-83-9164,A,Nueva York,Member,Male,Home and lifestyle,240.04,252.042,1/25/2019,15:54,Cash,4.5
779-06-0012,C,Houston,Member,Female,Home and lifestyle,88.61,93.0405,1/19/2019,10:21,Cash,7.7
446-47-6729,C,Houston,Normal,Male,Fashion accessories,199.64,209.622,01/02/2019,18:09,Credit card,6.7
573-10-3877,B,Chicago,Member,Male,Health and beauty,39.01,40.9605,03/12/2019,16:46,Credit card,4.7
735-06-4124,C,Houston,Normal,Male,Food and beverages,48.61,51.0405,2/25/2019,15:31,Cash,4.4
439-54-7422,A,Nueva York,Normal,Female,Electronic accessories,204.76,214.998,3/18/2019,17:15,Credit card,4.7
396-90-2219,B,Chicago,Normal,Female,Electronic accessories,119.68,125.664,2/23/2019,12:29,Cash,8.6
411-77-0180,A,Nueva York,Member,Male,Electronic accessories,505.4,530.67,3/26/2019,20:14,Ewallet,4.3
286-01-5402,A,Nueva York,Normal,Female,Sports and travel,281.61,295.6905,3/30/2019,13:22,Cash,9.6
803-17-8013,A,Nueva York,Member,Female,Home and lifestyle,710.32,745.836,2/17/2019,17:09,Cash,4.1
512-98-1403,A,Nueva York,Member,Female,Electronic accessories,79.44,83.412,3/21/2019,10:40,Ewallet,4.7
848-42-2560,A,Nueva York,Normal,Female,Fashion accessories,163.82,172.011,03/05/2019,17:43,Cash,7.8
532-59-7201,B,Chicago,Member,Male,Sports and travel,479.58,503.559,1/31/2019,14:04,Cash,5.5
181-94-6432,C,Houston,Member,Male,Fashion accessories,138.66,145.593,02/05/2019,19:05,Ewallet,9.7
870-76-1733,A,Nueva York,Member,Female,Food and beverages,71.15,74.7075,02/01/2019,10:08,Credit card,4.4
423-64-4619,A,Nueva York,Member,Female,Health and beauty,139.95,146.9475,03/07/2019,13:12,Cash,5
227-07-4446,C,Houston,Member,Female,Electronic accessories,781.3,820.365,02/10/2019,20:51,Cash,4.4
174-36-3675,C,Houston,Member,Male,Food and beverages,198.74,208.677,2/14/2019,17:29,Cash,5.2
428-83-5800,C,Houston,Member,Female,Food and beverages,63.24,66.402,02/09/2019,10:25,Cash,7.3
603-07-0961,C,Houston,Member,Male,Electronic accessories,373.95,392.6475,01/10/2019,11:34,Cash,4.9
704-20-4138,C,Houston,Member,Female,Health and beauty,207.69,218.0745,03/11/2019,18:58,Credit card,8.1
787-15-1757,C,Houston,Member,Male,Health and beauty,176.28,185.094,2/18/2019,16:28,Ewallet,8.4
649-11-3678,C,Houston,Normal,Female,Food and beverages,206.37,216.6885,2/26/2019,20:26,Cash,5.5
622-20-1945,C,Houston,Normal,Female,Health and beauty,39.42,41.391,1/18/2019,15:08,Cash,8.4
372-94-8041,A,Nueva York,Normal,Male,Health and beauty,91.56,96.138,2/15/2019,18:03,Ewallet,9.8
563-91-7120,A,Nueva York,Normal,Female,Fashion accessories,308.85,324.2925,03/08/2019,13:21,Cash,6.7
746-54-5508,A,Nueva York,Normal,Male,Home and lifestyle,129.12,135.576,1/17/2019,12:48,Credit card,9.4
276-54-0879,B,Chicago,Normal,Male,Sports and travel,390.96,410.508,03/12/2019,19:53,Ewallet,6.4
815-11-1168,A,Nueva York,Member,Male,Food and beverages,498.9,523.845,03/09/2019,19:09,Cash,5.4
719-76-3868,C,Houston,Member,Male,Food and beverages,377.04,395.892,03/12/2019,16:30,Cash,8.6
730-61-8757,B,Chicago,Member,Male,Health and beauty,204.52,214.746,1/25/2019,10:11,Credit card,4
340-66-0321,A,Nueva York,Member,Male,Electronic accessories,145.44,152.712,3/25/2019,13:07,Cash,7.6
868-81-1752,B,Chicago,Normal,Male,Home and lifestyle,198.18,208.089,02/07/2019,18:48,Cash,6.8
634-97-8956,A,Nueva York,Normal,Male,Food and beverages,98.7,103.635,2/17/2019,17:27,Credit card,9.1
566-71-1091,A,Nueva York,Normal,Male,Fashion accessories,385.1,404.355,02/03/2019,15:59,Cash,5.5
442-48-3607,A,Nueva York,Member,Male,Food and beverages,46.96,49.308,3/14/2019,11:21,Credit card,7.9
835-16-0096,C,Houston,Member,Male,Sports and travel,73.5,77.175,3/24/2019,13:48,Ewallet,8.5
527-09-6272,A,Nueva York,Member,Female,Electronic accessories,142.25,149.3625,3/21/2019,10:17,Credit card,9.1
898-04-2717,A,Nueva York,Normal,Male,Fashion accessories,687.6,721.98,3/19/2019,15:49,Ewallet,7.5
692-27-8933,B,Chicago,Normal,Female,Sports and travel,347.7,365.085,2/24/2019,13:02,Cash,5.2
633-09-3463,C,Houston,Normal,Female,Electronic accessories,142.95,150.0975,3/28/2019,12:58,Credit card,9.5
374-17-3652,B,Chicago,Member,Female,Food and beverages,385.38,404.649,02/05/2019,15:26,Credit card,8.9
378-07-7001,B,Chicago,Member,Male,Electronic accessories,144.27,151.4835,02/10/2019,18:23,Credit card,7.8
433-75-6987,B,Chicago,Member,Female,Health and beauty,391.79,411.3795,03/05/2019,19:06,Ewallet,8.9
873-95-4984,B,Chicago,Member,Female,Health and beauty,538.3,565.215,2/15/2019,20:21,Cash,7.7
416-13-5917,C,Houston,Normal,Female,Food and beverages,485.15,509.4075,1/30/2019,16:24,Ewallet,9.3
150-89-8043,A,Nueva York,Normal,Male,Sports and travel,133.95,140.6475,2/14/2019,15:04,Cash,6.2
135-84-8019,A,Nueva York,Normal,Female,Fashion accessories,701.37,736.4385,2/27/2019,16:10,Ewallet,7.6
441-94-7118,A,Nueva York,Member,Male,Electronic accessories,71.95,75.5475,02/04/2019,12:14,Cash,7.3
725-96-3778,C,Houston,Member,Female,Home and lifestyle,714,749.7,1/20/2019,10:13,Cash,4.7
531-80-1784,A,Nueva York,Normal,Male,Electronic accessories,182.14,191.247,3/28/2019,17:38,Cash,5.1
400-45-1220,B,Chicago,Normal,Female,Health and beauty,135,141.75,2/27/2019,11:06,Credit card,4.8
860-79-0874,C,Houston,Member,Female,Fashion accessories,993,1042.65,2/15/2019,14:53,Credit card,6.6
834-61-8124,A,Nueva York,Normal,Male,Electronic accessories,361.83,379.9215,1/26/2019,18:22,Cash,5.5
115-99-4379,B,Chicago,Member,Female,Fashion accessories,383.11,402.2655,3/14/2019,19:02,Credit card,8.5
565-67-6697,B,Chicago,Member,Male,Home and lifestyle,243,255.15,03/02/2019,14:16,Cash,4.8
320-49-6392,C,Houston,Normal,Female,Electronic accessories,30.24,31.752,03/04/2019,15:44,Cash,8.4
889-04-9723,B,Chicago,Member,Female,Food and beverages,356.56,374.388,01/07/2019,12:20,Credit card,7.8
632-90-0281,C,Houston,Normal,Female,Fashion accessories,375.5,394.275,03/08/2019,20:01,Credit card,9.3
554-42-2417,C,Houston,Normal,Female,Sports and travel,954.4,1002.12,01/09/2019,13:45,Cash,5.2
453-63-6187,B,Chicago,Normal,Male,Electronic accessories,82.5,86.625,03/01/2019,15:40,Ewallet,6.5
578-80-7669,B,Chicago,Normal,Male,Sports and travel,74.97,78.7185,3/16/2019,16:58,Cash,5.6
612-36-5536,A,Nueva York,Member,Male,Food and beverages,647.68,680.064,2/17/2019,11:12,Credit card,7.4
605-72-4132,C,Houston,Normal,Female,Food and beverages,755.76,793.548,2/27/2019,15:12,Cash,9.1
471-41-2823,C,Houston,Normal,Male,Food and beverages,199.58,209.559,03/07/2019,20:37,Ewallet,8
462-67-9126,A,Nueva York,Normal,Male,Home and lifestyle,439.32,461.286,1/21/2019,17:44,Cash,7.2
272-27-9238,C,Houston,Normal,Female,Food and beverages,164.96,173.208,2/19/2019,16:23,Cash,7.1
834-25-9262,C,Houston,Normal,Female,Fashion accessories,326.72,343.056,01/06/2019,12:12,Cash,9.1
122-61-9553,C,Houston,Normal,Female,Electronic accessories,461.88,484.974,3/14/2019,19:33,Cash,5.6
468-88-0009,A,Nueva York,Member,Male,Home and lifestyle,263.76,276.948,3/24/2019,10:29,Cash,6
613-59-9758,C,Houston,Normal,Female,Sports and travel,143.6,150.78,1/27/2019,14:28,Cash,5.4
254-31-0042,A,Nueva York,Member,Male,Electronic accessories,193.5,203.175,03/06/2019,12:46,Credit card,7.8
201-86-2184,B,Chicago,Member,Female,Electronic accessories,183.82,193.011,02/02/2019,19:40,Cash,9.9
261-12-8671,B,Chicago,Normal,Female,Fashion accessories,121.92,128.016,1/25/2019,19:39,Credit card,4.9
730-70-9830,C,Houston,Normal,Female,Home and lifestyle,420.66,441.693,3/14/2019,17:54,Ewallet,5.2
382-25-8917,C,Houston,Normal,Male,Fashion accessories,252.48,265.104,1/29/2019,12:25,Cash,8.9
422-29-8786,A,Nueva York,Normal,Female,Home and lifestyle,335.45,352.2225,01/03/2019,16:47,Credit card,9.1
667-23-5919,A,Nueva York,Member,Female,Fashion accessories,483.5,507.675,1/14/2019,12:52,Ewallet,7
843-01-4703,B,Chicago,Member,Female,Home and lifestyle,318.42,334.341,01/05/2019,19:50,Credit card,9.6
743-88-1662,C,Houston,Normal,Male,Sports and travel,668.43,701.8515,2/22/2019,18:17,Ewallet,8.7
595-86-2894,C,Houston,Member,Male,Fashion accessories,387.92,407.316,02/06/2019,17:20,Ewallet,9.4
182-69-8360,B,Chicago,Normal,Female,Electronic accessories,94.6,99.33,1/30/2019,13:32,Credit card,4
289-15-7034,A,Nueva York,Member,Male,Sports and travel,329.32,345.786,01/11/2019,10:37,Credit card,7.5
462-78-5240,C,Houston,Normal,Female,Electronic accessories,53.22,55.881,3/19/2019,14:35,Cash,4.2
868-52-7573,B,Chicago,Normal,Female,Food and beverages,498.45,523.3725,1/14/2019,12:09,Cash,9.9
153-58-4872,C,Houston,Member,Female,Food and beverages,299.56,314.538,03/01/2019,15:32,Ewallet,4.2
662-72-2873,A,Nueva York,Normal,Female,Food and beverages,204.7,214.935,01/06/2019,13:58,Ewallet,9.9
525-88-7307,B,Chicago,Member,Male,Sports and travel,75.82,79.611,1/31/2019,13:19,Cash,5.8
689-16-9784,C,Houston,Normal,Male,Food and beverages,280.62,294.651,03/11/2019,13:37,Cash,6
725-56-0833,A,Nueva York,Normal,Female,Health and beauty,323.2,339.36,2/20/2019,16:49,Credit card,10
394-41-0748,C,Houston,Member,Female,Fashion accessories,486.63,510.9615,1/27/2019,14:55,Ewallet,9.5
596-42-3999,B,Chicago,Normal,Male,Food and beverages,127.54,133.917,03/10/2019,14:04,Credit card,6.6
541-89-9860,C,Houston,Member,Female,Fashion accessories,241.44,253.512,2/15/2019,12:31,Cash,8.1
173-82-9529,B,Chicago,Normal,Female,Fashion accessories,379.5,398.475,1/26/2019,14:51,Cash,9.7
563-36-9814,A,Nueva York,Member,Male,Electronic accessories,76.82,80.661,2/13/2019,18:27,Ewallet,7.2
308-47-4913,A,Nueva York,Member,Female,Sports and travel,522.6,548.73,03/09/2019,12:45,Credit card,6.2
885-17-6250,A,Nueva York,Normal,Female,Health and beauty,79.74,83.727,03/06/2019,10:36,Ewallet,7.3
726-27-2396,A,Nueva York,Normal,Female,Health and beauty,387.5,406.875,1/24/2019,20:36,Ewallet,4.3
316-01-3952,A,Nueva York,Normal,Female,Food and beverages,271.35,284.9175,3/13/2019,14:16,Ewallet,4.6
760-54-1821,B,Chicago,Normal,Male,Home and lifestyle,122.31,128.4255,3/15/2019,10:26,Cash,5.8
793-10-3222,B,Chicago,Member,Female,Health and beauty,246.36,258.678,03/05/2019,13:30,Credit card,8.3
346-12-3257,B,Chicago,Member,Male,Electronic accessories,173.16,181.818,03/04/2019,16:28,Cash,8
110-05-6330,C,Houston,Normal,Female,Food and beverages,236.58,248.409,3/25/2019,20:18,Credit card,9.4
651-61-0874,C,Houston,Normal,Male,Home and lifestyle,184.88,194.124,03/12/2019,20:04,Credit card,6.2
236-86-3015,C,Houston,Member,Male,Home and lifestyle,13.98,14.679,02/04/2019,13:38,Ewallet,9.8
831-64-0259,B,Chicago,Normal,Female,Fashion accessories,198.75,208.6875,2/22/2019,10:43,Ewallet,9.6
587-03-7455,C,Houston,Member,Female,Fashion accessories,684.53,718.7565,2/16/2019,17:30,Ewallet,4.9
882-40-4577,A,Nueva York,Member,Male,Sports and travel,269.04,282.492,1/19/2019,15:28,Credit card,8
732-67-5346,A,Nueva York,Normal,Male,Food and beverages,68.95,72.3975,01/11/2019,19:07,Credit card,7.8
725-32-9708,B,Chicago,Member,Female,Fashion accessories,274.84,288.582,01/04/2019,19:01,Cash,4.1
256-08-8343,A,Nueva York,Normal,Female,Home and lifestyle,226.12,237.426,03/04/2019,19:48,Ewallet,5.5
372-26-1506,C,Houston,Normal,Female,Fashion accessories,119.1,125.055,1/28/2019,19:24,Ewallet,5.4
244-08-0162,B,Chicago,Normal,Female,Health and beauty,342.1,359.205,01/02/2019,13:00,Cash,5.1
569-71-4390,B,Chicago,Normal,Male,Sports and travel,43.74,45.927,1/25/2019,14:29,Ewallet,6.9
132-23-6451,A,Nueva York,Member,Male,Health and beauty,104.85,110.0925,01/04/2019,13:21,Cash,7.8
696-90-2548,A,Nueva York,Normal,Male,Sports and travel,77.52,81.396,03/10/2019,18:55,Ewallet,6.6
472-15-9636,A,Nueva York,Normal,Male,Home and lifestyle,407.44,427.812,3/22/2019,19:36,Ewallet,9.2
268-03-6164,B,Chicago,Normal,Male,Health and beauty,96.11,100.9155,1/25/2019,16:28,Ewallet,7.8
750-57-9686,C,Houston,Normal,Female,Home and lifestyle,181.52,190.596,01/08/2019,13:48,Credit card,8.7
186-09-3669,C,Houston,Member,Female,Health and beauty,81.51,85.5855,1/22/2019,10:57,Ewallet,9.2
848-07-1692,B,Chicago,Normal,Female,Health and beauty,114.44,120.162,01/12/2019,17:13,Ewallet,8.3
745-71-3520,A,Nueva York,Member,Female,Electronic accessories,176.54,185.367,02/04/2019,10:23,Cash,8.2
266-76-6436,C,Houston,Member,Female,Food and beverages,115.8,121.59,3/28/2019,13:57,Ewallet,7.5
740-22-2500,C,Houston,Normal,Female,Electronic accessories,252.15,264.7575,1/23/2019,13:29,Cash,9.8
271-88-8734,C,Houston,Member,Female,Fashion accessories,972.1,1020.705,02/08/2019,13:00,Credit card,8.7
301-81-8610,B,Chicago,Member,Male,Fashion accessories,203.36,213.528,3/19/2019,19:42,Credit card,6.7
489-64-4354,C,Houston,Normal,Male,Fashion accessories,16.28,17.094,03/09/2019,15:36,Cash,5
198-84-7132,B,Chicago,Member,Male,Fashion accessories,365.49,383.7645,01/02/2019,13:40,Cash,7
269-10-8440,A,Nueva York,Member,Male,Health and beauty,372.19,390.7995,1/21/2019,18:01,Cash,8.9
650-98-6268,B,Chicago,Member,Female,Food and beverages,62.61,65.7405,3/20/2019,13:53,Credit card,8
741-73-3559,B,Chicago,Normal,Male,Sports and travel,336.35,353.1675,2/27/2019,17:27,Cash,6.9
325-77-6186,A,Nueva York,Member,Female,Home and lifestyle,906.5,951.825,03/08/2019,10:53,Ewallet,7.3
286-75-7818,B,Chicago,Normal,Male,Fashion accessories,138.16,145.068,1/31/2019,19:48,Credit card,6.9
574-57-9721,C,Houston,Normal,Male,Food and beverages,86.54,90.867,03/08/2019,16:53,Ewallet,5.7
459-50-7686,A,Nueva York,Normal,Female,Electronic accessories,140.76,147.798,1/13/2019,19:14,Ewallet,6.4
616-87-0016,B,Chicago,Normal,Male,Fashion accessories,668.78,702.219,03/09/2019,14:36,Credit card,9.6
837-55-7229,B,Chicago,Normal,Female,Fashion accessories,47.44,49.812,2/22/2019,18:19,Credit card,6.8
751-69-0068,C,Houston,Normal,Male,Sports and travel,893.16,937.818,3/19/2019,19:09,Ewallet,9
257-73-1380,C,Houston,Member,Male,Sports and travel,331.72,348.306,1/20/2019,16:51,Ewallet,9.6
345-08-4992,A,Nueva York,Normal,Male,Home and lifestyle,203.94,214.137,03/08/2019,15:37,Credit card,7.7
549-96-4200,C,Houston,Member,Male,Food and beverages,68.16,71.568,03/08/2019,20:15,Ewallet,7
810-60-6344,C,Houston,Normal,Female,Electronic accessories,326.88,343.224,02/07/2019,14:38,Credit card,6.5
450-28-2866,C,Houston,Member,Male,Food and beverages,87.2,91.56,1/15/2019,19:25,Cash,8.1
394-30-3170,B,Chicago,Member,Female,Sports and travel,707.44,742.812,3/22/2019,19:35,Credit card,4.3
138-17-5109,A,Nueva York,Member,Female,Home and lifestyle,802.89,843.0345,1/15/2019,15:42,Credit card,6.5
192-98-7397,C,Houston,Normal,Male,Fashion accessories,12.78,13.419,01/08/2019,14:11,Ewallet,9.5
301-11-9629,A,Nueva York,Normal,Female,Sports and travel,133.7,140.385,1/15/2019,10:43,Cash,9.7
390-80-5128,B,Chicago,Member,Female,Health and beauty,19.15,20.1075,1/28/2019,17:58,Credit card,9.5
235-46-8343,C,Houston,Member,Male,Food and beverages,276.6,290.43,2/14/2019,11:26,Credit card,8.9
453-12-7053,C,Houston,Normal,Male,Fashion accessories,137.22,144.081,03/10/2019,17:38,Credit card,6.5
296-11-7041,B,Chicago,Member,Female,Health and beauty,27.07,28.4235,01/12/2019,20:07,Credit card,5.3
449-27-2918,B,Chicago,Member,Female,Sports and travel,39.12,41.076,3/26/2019,11:02,Credit card,9.6
891-01-7034,B,Chicago,Normal,Female,Electronic accessories,448.26,470.673,01/01/2019,19:07,Cash,6.7
744-09-5786,B,Chicago,Normal,Male,Electronic accessories,132.06,138.663,01/02/2019,18:50,Cash,7.6
727-17-0390,A,Nueva York,Normal,Female,Food and beverages,318.05,333.9525,3/16/2019,12:43,Ewallet,4.8
568-88-3448,A,Nueva York,Normal,Male,Health and beauty,25,26.25,03/03/2019,15:09,Ewallet,5.5
187-83-5490,A,Nueva York,Member,Male,Electronic accessories,83.08,87.234,1/31/2019,13:47,Cash,4.7
767-54-1907,B,Chicago,Member,Female,Fashion accessories,147.8,155.19,2/13/2019,16:59,Cash,6.9
710-46-4433,B,Chicago,Member,Female,Food and beverages,696.6,731.43,2/15/2019,14:15,Credit card,4.5
533-33-5337,B,Chicago,Normal,Male,Electronic accessories,793.9,833.595,02/07/2019,20:24,Cash,6.2
325-90-8763,C,Houston,Member,Female,Electronic accessories,465.7,488.985,1/27/2019,13:58,Cash,7.6
729-46-7422,C,Houston,Normal,Male,Food and beverages,35.89,37.6845,2/23/2019,16:52,Credit card,7.9
639-76-1242,C,Houston,Normal,Male,Food and beverages,202.6,212.73,02/03/2019,15:19,Cash,4.5
234-03-4040,B,Chicago,Member,Female,Food and beverages,730.5,767.025,03/03/2019,12:25,Credit card,8.7
326-71-2155,C,Houston,Normal,Female,Sports and travel,295.8,310.59,02/03/2019,10:02,Cash,6.1
320-32-8842,C,Houston,Member,Female,Food and beverages,22.62,23.751,3/17/2019,18:58,Cash,6.4
470-32-9057,A,Nueva York,Member,Male,Food and beverages,256.7,269.535,3/28/2019,15:31,Credit card,9.1
878-30-2331,C,Houston,Member,Female,Sports and travel,545.5,572.775,03/02/2019,11:22,Credit card,7.1
440-59-5691,C,Houston,Member,Female,Health and beauty,260.05,273.0525,02/08/2019,13:12,Credit card,7.7
554-53-3790,B,Chicago,Normal,Male,Sports and travel,222.12,233.226,3/22/2019,18:33,Cash,4.5
746-19-0921,C,Houston,Normal,Male,Food and beverages,21.58,22.659,02/09/2019,10:02,Ewallet,7.2
233-34-0817,C,Houston,Member,Female,Electronic accessories,98.84,103.782,2/15/2019,11:21,Cash,8.4
767-05-1286,C,Houston,Member,Female,Home and lifestyle,502.62,527.751,1/23/2019,12:10,Ewallet,5.4
340-21-9136,A,Nueva York,Member,Female,Sports and travel,160.2,168.21,1/25/2019,11:40,Cash,9.7
405-31-3305,A,Nueva York,Member,Male,Fashion accessories,431.3,452.865,02/02/2019,18:31,Credit card,5.5
731-59-7531,B,Chicago,Member,Male,Health and beauty,580.56,609.588,3/30/2019,17:58,Cash,4.6
676-39-6028,A,Nueva York,Member,Female,Electronic accessories,322.2,338.31,3/30/2019,17:04,Cash,6.6
502-05-1910,A,Nueva York,Normal,Male,Health and beauty,195.54,205.317,2/25/2019,20:35,Credit card,6.3
485-30-8700,A,Nueva York,Normal,Female,Sports and travel,166.3,174.615,3/18/2019,16:10,Credit card,4.2
598-47-9715,C,Houston,Normal,Male,Electronic accessories,336.28,353.094,03/07/2019,16:54,Ewallet,4.4
701-69-8742,B,Chicago,Normal,Male,Sports and travel,343.7,360.885,3/16/2019,10:11,Ewallet,6.7
575-67-1508,A,Nueva York,Normal,Male,Electronic accessories,38.6,40.53,1/29/2019,11:26,Ewallet,6.7
541-08-3113,C,Houston,Normal,Male,Food and beverages,527.76,554.148,02/02/2019,20:29,Cash,8.4
246-11-3901,C,Houston,Normal,Female,Electronic accessories,328,344.4,2/15/2019,12:12,Cash,6.2
674-15-9296,A,Nueva York,Normal,Male,Sports and travel,185.7,194.985,01/08/2019,13:05,Ewallet,5
305-18-3552,B,Chicago,Member,Male,Home and lifestyle,603.8,633.99,02/12/2019,16:19,Cash,6
493-65-6248,C,Houston,Member,Female,Sports and travel,369.8,388.29,01/01/2019,19:48,Credit card,7
438-01-4015,B,Chicago,Member,Female,Sports and travel,197.96,207.858,3/21/2019,15:25,Ewallet,6.6
709-58-4068,B,Chicago,Normal,Female,Fashion accessories,410.9,431.445,2/28/2019,14:42,Cash,7.3
795-49-7276,A,Nueva York,Normal,Male,Fashion accessories,148.6,156.03,3/23/2019,18:59,Ewallet,8.3
556-72-8512,C,Houston,Normal,Male,Home and lifestyle,22.96,24.108,1/30/2019,20:47,Cash,4.3
627-95-3243,B,Chicago,Member,Female,Home and lifestyle,699.12,734.076,02/04/2019,13:21,Ewallet,9.8
686-41-0932,B,Chicago,Normal,Female,Fashion accessories,69.4,72.87,3/13/2019,19:48,Ewallet,8.2
510-09-5628,A,Nueva York,Member,Female,Fashion accessories,196.6,206.43,3/15/2019,18:20,Credit card,7.2
608-04-3797,B,Chicago,Member,Female,Health and beauty,202.56,212.688,03/05/2019,20:24,Ewallet,8.7
148-82-2527,C,Houston,Member,Female,Home and lifestyle,121.2,127.26,03/05/2019,13:44,Credit card,8.4
